Source: https://learn.microsoft.com/en-us/windows/win32/api/gdiplustypes/ne-gdiplustypes-status

Code|Name|Description
00|OK|"Indicates that the method call was successful."
01|GenericError|"Indicates that there was an error on the method call, which is identified as something other than those defined by the other elements of this enumeration."
02|InvalidParameter|"Indicates that one of the arguments passed to the method was not valid."
03|OutOfMemory|"Indicates that the operating system is out of memory and could not allocate memory to process the method call. For an explanation of how constructors use the OutOfMemory status, see the Remarks section at the end of this topic."
04|ObjectBusy|"Indicates that one of the arguments specified in the API call is already in use in another thread."
05|InsufficientBuffer|"Indicates that a buffer specified as an argument in the API call is not large enough to hold the data to be received."
06|NotImplemented|"Indicates that the method is not implemented."
07|Win32Error|"Indicates that the method generated a Win32 error."
08|WrongState|"Indicates that the object is in an invalid state to satisfy the API call. For example, calling Pen::GetColor from a pen that is not a single, solid color results in a WrongState status."
09|Aborted|"Indicates that the method was aborted."
10|FileNotFound|"Indicates that the specified image file or metafile cannot be found."
11|ValueOverflow|"Indicates that the method performed an arithmetic operation that produced a numeric overflow."
12|AccessDenied|"Indicates that a write operation is not allowed on the specified file."
13|UknownImageFormat|"Indicates that the specified image file format is not known."
14|FontFamilyNotFound|"Indicates that the specified font family cannot be found. Either the font family name is incorrect or the font family is not installed."
15|FontStyleNotFound|"Indicates that the specified style is not available for the specified font family."
16|NotTrueTypeFont|"Indicates that the font retrieved from an HDC or LOGFONT is not a TrueType font and cannot be used with GDI+."
17|UnsupportedGdiplusVersion|"Indicates that the version of GDI+ that is installed on the system is incompatible with the version with which the application was compiled."
18|GdiplusNotInitialized|"Indicates that the GDI+API is not in an initialized state. To function, all GDI+ objects require that GDI+ be in an initialized state. Initialize GDI+ by calling GdiplusStartup."
19|PropertyNotFound|"Indicates that the specified property does not exist in the image."
20|PropertyNotSupported|"Indicates that the specified property is not supported by the format of the image and, therefore, cannot be set."
21|ProfileNotFound|"Indicates that the color profile required to save an image in CMYK format was not found."
